"Netz-Code";"Netzname";"Pad-Anzahl";"Via-Anzahl";"Via-Länge";"Leiterbahnlänge";"Die-Länge";"Netzlänge";
002;"Net-(AE1-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
003;"+5V";33;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
004;"+3V3";31;1;1,5194 mm;1,1021 mm;0,0000 mm;2,6215 mm;
005;"+1V2";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
006;"Net-(L1-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
007;"Net-(L2-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
008;"Net-(L3-Pad1)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
009;"Net-(C1-Pad1)";4;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
010;"+1V4";4;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
011;"Net-(R3-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
012;"Net-(C10-Pad2)";13;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
013;"Net-(R5-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
015;"Net-(R7-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
016;"Net-(C2-Pad1)";4;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
017;"VDD_HIGH";6;1;1,5194 mm;0,5450 mm;0,0000 mm;2,0644 mm;
018;"/Memory/VDD_RAM_REF";6;3;4,5582 mm;16,5703 mm;0,0000 mm;21,1285 mm;
019;"/Network/PHY_LED0";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
020;"/Network/PHY_LED1";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
021;"+1V35";74;10;15,1940 mm;28,2178 mm;0,0000 mm;43,4118 mm;
022;"Net-(C72-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
023;"AGND2";299;15;22,7910 mm;16,8841 mm;0,0000 mm;39,6751 mm;
024;"/Network/~{PHYRST}";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
025;"Net-(J1-Pad9)";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
026;"PWR_EN";5;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
028;"DRV";14;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
029;"LED1";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
030;"LED2";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
031;"LED3";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
032;"LED4";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
033;"Net-(D5-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
034;"Net-(D6-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
035;"Net-(D7-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
036;"Net-(D8-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
037;"/Memory/SD1_DAT2";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
038;"LED5";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
039;"/Memory/SD1_DAT3";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
040;"Net-(J4-Pad3)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
041;"/Memory/SD1_CMD";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
042;"/Memory/SD1_CLK";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
043;"/Memory/SD1_DAT0";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
044;"Net-(J4-Pad6)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
045;"Net-(J4-Pad7)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
046;"Net-(J6-Pad4)";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
